2026-01-20 22:24:32,441 | INFO    | method | ============================================================
2026-01-20 22:24:32,441 | INFO    | method | ASYMMETRIC BOUNDED-CONFIDENCE MODEL - METHOD VS BASELINE
2026-01-20 22:24:32,441 | INFO    | method | ============================================================
2026-01-20 22:24:32,441 | INFO    | method | Loading opinion distribution from: /home/adrian/projects/ai-inventor/aii_pipeline/runs/run__20260120_210012/invention_loop/iter2_experiment_workspace_idx0/dependencies/Political_Bias_Opinion_Distribution_Dataset_for_Ag/full_data_out.json
2026-01-20 22:24:32,443 | INFO    | method | Loaded 200 opinion scores from 200 examples
2026-01-20 22:24:32,444 | DEBUG   | method | Opinion range: [-1.00, 1.00]
2026-01-20 22:24:32,445 | DEBUG   | method | Opinion mean: 0.052, std: 0.697
2026-01-20 22:24:32,445 | INFO    | method | Data loading took 0.00 seconds
2026-01-20 22:24:32,445 | INFO    | method | Parameters: n_agents=100, n_seeds=10, max_t=300
2026-01-20 22:24:32,446 | INFO    | method | Baseline alpha: 0.0
2026-01-20 22:24:32,446 | INFO    | method | Method alphas: [0.1, 0.17, 0.24, 0.31, 0.38, 0.45, 0.52, 0.59, 0.66, 0.73, 0.8, 0.87, 0.94, 1.01, 1.08, 1.15, 1.22, 1.29, 1.36, 1.43]
2026-01-20 22:24:32,447 | INFO    | method | 
========================================
2026-01-20 22:24:32,447 | INFO    | method | RUNNING BASELINE (alpha=0, no asymmetry)
2026-01-20 22:24:32,447 | INFO    | method | ========================================
2026-01-20 22:24:32,448 | INFO    | method | Running experiment: 1 alphas x 10 seeds
2026-01-20 22:24:32,448 | INFO    | method | Run 1/10: alpha=0.0, seed=0
2026-01-20 22:24:32,448 | INFO    | method | Running simulation: alpha=0.0, n=100, seed=0, network=small_world
2026-01-20 22:24:32,449 | DEBUG   | method | Initializing 100 agents with alpha=0.0, seed=0
2026-01-20 22:24:32,457 | DEBUG   | method | Agent opinions: mean=0.168, std=0.648
2026-01-20 22:24:32,457 | DEBUG   | method | Creating small_world network with 100 nodes, seed=0
2026-01-20 22:24:32,459 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:32,465 | DEBUG   | method |   t=0: clusters=10, variance=0.4205, max_change=0.099347
2026-01-20 22:24:32,675 | DEBUG   | method |   Converged at t=69
