final_cluster_count,cluster_lifetime_mean,final_variance,final_modularity_Q,convergence_time,alpha,seed,network_type,n_agents
12,10.0,0.41593564661380883,0.06820555555555555,70,0.0,0,small_world,100
9,16.8,0.5029206966027244,0.03324444444444445,84,0.0,1,small_world,100
10,18.555555555555557,0.4208562287990532,0.10153333333333332,167,0.0,2,small_world,100
12,10.125,0.4098555742089106,0.12105000000000002,81,0.0,3,small_world,100
12,12.428571428571429,0.3705178635824293,0.09847222222222222,87,0.0,4,small_world,100
7,27.0,0.46460695264884744,0.06453333333333333,81,0.0,5,small_world,100
12,16.25,0.4973981973536848,0.049683333333333336,65,0.0,6,small_world,100
7,27.0,0.4937091679280619,0.02648888888888888,81,0.0,7,small_world,100
7,14.0,0.45821718435298076,0.05174444444444444,98,0.0,8,small_world,100
9,7.3125,0.415547922668998,0.0762722222222222,117,0.0,9,small_world,100
10,13.142857142857142,0.4185617971171748,0.03315555555555554,92,0.1,0,small_world,100
9,16.8,0.5035173408365012,0.03324444444444445,84,0.1,1,small_world,100
11,17.4,0.4211609402787697,0.09813333333333332,174,0.1,2,small_world,100
11,21.2,0.4119761880189033,0.08426666666666667,106,0.1,3,small_world,100
12,9.25,0.3711093452079906,0.09319444444444447,74,0.1,4,small_world,100
8,27.0,0.46515862767605504,0.058505555555555554,81,0.1,5,small_world,100
10,16.0,0.49713685016804293,0.022199999999999994,64,0.1,6,small_world,100
8,27.0,0.4942187247269928,0.017011111111111102,81,0.1,7,small_world,100
6,20.0,0.4572314151945454,0.041400000000000006,100,0.1,8,small_world,100
9,12.333333333333334,0.42046933220443,0.07683888888888889,111,0.1,9,small_world,100
11,17.5,0.41937742833542935,0.030955555555555556,70,0.17,0,small_world,100
8,16.8,0.5037980011160209,0.023111111111111117,84,0.17,1,small_world,100
11,14.916666666666666,0.4210959969128902,0.09813333333333332,179,0.17,2,small_world,100
12,14.2,0.4132713803875417,0.08066111111111113,71,0.17,3,small_world,100
13,11.0,0.36962551228758905,0.07697222222222222,66,0.17,4,small_world,100
8,27.333333333333332,0.4650293132160614,0.058505555555555554,82,0.17,5,small_world,100
10,16.0,0.4968174199473473,0.022138888888888885,64,0.17,6,small_world,100
8,27.0,0.4942187247269928,0.017011111111111102,81,0.17,7,small_world,100
7,22.666666666666668,0.4588182622380701,0.04515,68,0.17,8,small_world,100
9,15.857142857142858,0.42116768048978537,0.06107222222222222,111,0.17,9,small_world,100
10,64.0,0.41956041299828334,0.012227777777777768,64,0.24,0,small_world,100
8,16.8,0.5038583894692591,0.022138888888888895,84,0.24,1,small_world,100
11,15.166666666666666,0.4211264928705047,0.09813333333333332,182,0.24,2,small_world,100
13,17.75,0.41498307499122655,0.0748277777777778,71,0.24,3,small_world,100
14,11.0,0.3708383135968713,0.07047222222222221,66,0.24,4,small_world,100
8,27.333333333333332,0.465147703994678,0.05790555555555555,82,0.24,5,small_world,100
11,21.0,0.49750806426557104,0.018244444444444445,63,0.24,6,small_world,100
9,40.5,0.49435559014730773,0.015511111111111102,81,0.24,7,small_world,100
7,22.666666666666668,0.4588182622380701,0.04515,68,0.24,8,small_world,100
8,13.625,0.4245724907906038,0.03496111111111112,109,0.24,9,small_world,100
10,22.666666666666668,0.4202934983701354,0.00629444444444444,68,0.31,0,small_world,100
9,16.8,0.5042371525089624,0.01930555555555556,84,0.31,1,small_world,100
11,13.142857142857142,0.42097512941904064,0.09584999999999999,184,0.31,2,small_world,100
11,17.75,0.4147657069120716,0.06355555555555557,71,0.31,3,small_world,100
14,11.0,0.37178448563328864,0.05735,66,0.31,4,small_world,100
9,27.0,0.4651805408520648,0.055999999999999994,81,0.31,5,small_world,100
11,22.333333333333332,0.49794824117369474,0.018244444444444445,67,0.31,6,small_world,100
9,40.5,0.4943426607127758,0.015511111111111102,81,0.31,7,small_world,100
7,22.666666666666668,0.4588182622380701,0.04515,68,0.31,8,small_world,100
8,13.375,0.4245717168185926,0.03496111111111112,107,0.31,9,small_world,100
10,22.666666666666668,0.4202934983701354,0.00629444444444444,68,0.38,0,small_world,100
9,16.8,0.5042118248783771,0.01930555555555556,84,0.38,1,small_world,100
12,12.0,0.4326777070541537,0.09043888888888889,72,0.38,2,small_world,100
11,18.0,0.4147642410276227,0.06355555555555557,72,0.38,3,small_world,100
14,11.0,0.37178448563328864,0.05735,66,0.38,4,small_world,100
9,27.0,0.46524848086896015,0.055999999999999994,81,0.38,5,small_world,100
11,22.333333333333332,0.4997474370693091,0.01811111111111111,67,0.38,6,small_world,100
9,40.5,0.4943426607127758,0.015511111111111102,81,0.38,7,small_world,100
6,32.5,0.45904010249396876,0.033638888888888906,65,0.38,8,small_world,100
9,15.571428571428571,0.425902757332971,0.03546111111111112,109,0.38,9,small_world,100
10,22.666666666666668,0.4202934983701354,0.00629444444444444,68,0.45,0,small_world,100
10,16.8,0.503819282799273,0.014655555555555555,84,0.45,1,small_world,100
11,12.428571428571429,0.43240410374691557,0.08485,87,0.45,2,small_world,100
11,18.0,0.4147642410276227,0.06355555555555557,72,0.45,3,small_world,100
14,16.5,0.3720903979320609,0.04155,66,0.45,4,small_world,100
9,27.0,0.4652830789709316,0.055999999999999994,81,0.45,5,small_world,100
11,22.666666666666668,0.4997061280488711,0.01811111111111111,68,0.45,6,small_world,100
9,20.5,0.4946916457564602,0.015444444444444436,82,0.45,7,small_world,100
6,32.5,0.45910786059705594,0.031005555555555557,65,0.45,8,small_world,100
10,11.166666666666666,0.4282231198022853,0.032066666666666674,67,0.45,9,small_world,100
9,30.0,0.4205097263172678,-0.007455555555555559,60,0.52,0,small_world,100
10,21.666666666666668,0.5047722594681099,0.013405555555555558,65,0.52,1,small_world,100
11,14.4,0.4338526273117409,0.07501666666666666,72,0.52,2,small_world,100
12,20.666666666666668,0.4151909462107018,0.061188888888888904,62,0.52,3,small_world,100
14,11.0,0.37242979890401406,0.04155,66,0.52,4,small_world,100
10,33.5,0.4656285034877152,0.057777777777777775,67,0.52,5,small_world,100
10,29.5,0.5000651314807415,-0.0020722222222222275,59,0.52,6,small_world,100
10,21.666666666666668,0.4965702326495247,-0.00010000000000000608,65,0.52,7,small_world,100
6,32.5,0.45910786059705594,0.031005555555555557,65,0.52,8,small_world,100
10,16.0,0.42818767772665495,0.022855555555555556,64,0.52,9,small_world,100
